user_id,month,total_income,total_spending,total_saving,saving_rate,restaurant_ratio,coffee_ratio,shopping_ratio,transport_ratio,electronics_ratio,entertainment_ratio,weekend_spending_ratio,planned_purchase_ratio,online_purchase_ratio,budget_adherence,financial_score,goal_progress,consecutive_budget_success,spending_trend,financial_personality,target_months,financial_risk,will_reach_goal,behavior_label,recommended_action
1,1,1000,2301.4,-1301.4,-1.301,0.014,0.014,0.654,0.0,0.0,0.0,0.318,0.3,0.8,0.0,60,0.0,1,Stable,Shopaholic,3,High,No,Overspender,Emergency Spending Alert
1,2,1000,2921.53,-1921.53,-1.922,0.0,0.0,0.478,0.0,0.0,0.0,0.233,0.364,0.818,0.0,100,0.133,1,Increasing,Shopaholic,3,High,No,Overspender,Emergency Spending Alert
1,3,1000,4650.14,-3650.14,-3.65,0.0,0.006,0.125,0.0,0.635,0.0,0.0,0.333,0.444,0.0,60,0.0,1,Increasing,Shopaholic,3,High,No,Overspender,Emergency Spending Alert
1,4,1000,6294.26,-5294.26,-5.294,0.0,0.0,0.253,0.0,0.47,0.0,0.205,0.214,0.786,0.0,60,0.0,1,Increasing,Shopaholic,3,High,No,Overspender,Emergency Spending Alert
1,5,1000,7939.11,-6939.11,-6.939,0.005,0.003,0.095,0.0,0.791,0.0,0.131,0.143,1.0,0.0,60,0.0,1,Increasing,Shopaholic,3,High,No,Overspender,Emergency Spending Alert
1,6,1000,3749.64,-2749.64,-2.75,0.0,0.0,0.176,0.004,0.76,0.0,0.039,0.0,0.875,0.0,60,0.0,1,Decreasing,Shopaholic,3,High,No,Overspender,Emergency Spending Alert
1,7,1000,1114.75,-114.75,-0.115,0.092,0.0,0.0,0.099,0.0,0.0,0.236,0.375,1.0,0.0,60,0.0,1,Decreasing,Shopaholic,3,High,No,Overspender,Emergency Spending Alert
1,8,1000,2225.99,-1225.99,-1.226,0.089,0.0,0.136,0.0,0.0,0.059,0.64,0.0,0.714,0.0,60,0.0,1,Increasing,Shopaholic,3,High,No,Overspender,Emergency Spending Alert
1,9,1000,4483.25,-3483.25,-3.483,0.0,0.006,0.057,0.0,0.781,0.03,0.0,0.375,0.625,0.0,60,0.0,1,Increasing,Shopaholic,3,High,No,Overspender,Emergency Spending Alert
1,10,1000,1798.39,-798.39,-0.798,0.082,0.0,0.512,0.0,0.0,0.018,0.518,0.333,1.0,0.0,60,0.0,1,Decreasing,Shopaholic,3,High,No,Overspender,Emergency Spending Alert
